,ID,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,CODE_GENDER_M,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y
0,5008804,0,427500.0,4,1,0,4,33,1,0,0,18,2,0,1,1,1
1,5008805,0,427500.0,4,1,0,4,33,1,0,0,18,2,0,1,1,1
2,5008806,0,112500.0,4,4,1,1,59,0,0,0,16,2,0,1,1,1
3,5008808,0,270000.0,0,4,3,1,52,0,1,1,14,1,0,0,0,1
4,5008809,0,270000.0,0,4,3,1,52,0,1,1,14,1,0,0,0,1
5,5008810,0,270000.0,0,4,3,1,52,0,1,1,14,1,0,0,0,1
6,5008811,0,270000.0,0,4,3,1,52,0,1,1,14,1,0,0,0,1
7,5008812,0,283500.0,1,1,2,1,62,0,0,0,18,1,0,0,0,1
8,5008813,0,283500.0,1,1,2,1,62,0,0,0,18,1,0,0,0,1
9,5008814,0,283500.0,1,1,2,1,62,0,0,0,18,1,0,0,0,1
10,5008815,0,270000.0,4,1,1,1,46,1,1,1,0,2,0,1,1,1
11,5112956,0,270000.0,4,1,1,1,46,1,1,1,0,2,0,1,1,1
13,5008819,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
14,5008820,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
15,5008821,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
16,5008822,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
17,5008823,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
18,5008824,0,135000.0,0,4,1,1,49,0,0,0,8,2,0,1,1,1
19,5008825,0,130500.0,4,2,1,1,29,0,0,0,0,2,0,0,1,0
20,5008826,0,130500.0,4,2,1,1,29,0,0,0,0,2,1,0,1,0
21,5008830,0,157500.0,4,4,1,1,27,0,1,0,8,2,1,0,0,1
22,5008831,0,157500.0,4,4,1,1,27,0,1,0,8,2,1,0,0,1
23,5008832,0,157500.0,4,4,1,1,27,0,1,0,8,2,1,0,0,1
24,5008834,1,112500.0,4,4,3,1,30,0,0,0,18,2,0,0,0,1
25,5008835,1,112500.0,4,4,3,1,30,0,0,0,18,2,0,0,0,1
27,5008836,3,270000.0,4,4,1,1,35,0,0,0,8,5,0,1,1,1
28,5008837,3,270000.0,4,4,1,1,35,0,0,0,8,5,0,1,1,1
29,5008838,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
30,5008839,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
31,5008840,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
32,5008841,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
33,5008842,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
34,5008843,1,405000.0,0,1,1,1,32,0,0,0,10,3,0,1,0,1
35,5008844,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
36,5008846,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
37,5008847,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
38,5008849,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
39,5008850,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
40,5008851,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
41,5008852,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
42,5008853,0,112500.0,0,4,1,1,56,0,1,0,4,2,0,1,1,1
46,5008854,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
47,5008855,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
48,5008856,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
49,5008857,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
50,5008858,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
51,5008859,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
52,5008860,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
53,5008861,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
54,5008862,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
55,5008863,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
56,5008864,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
57,5008865,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
58,5008866,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
59,5008867,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
60,5112846,2,135000.0,4,4,1,1,43,0,0,0,8,4,0,0,1,1
62,5008868,1,211500.0,2,4,0,1,44,0,0,0,3,3,0,0,0,1
63,5008870,1,211500.0,2,4,0,1,44,0,0,0,3,3,0,0,0,1
64,5008872,0,360000.0,0,4,1,1,46,0,1,0,16,2,0,1,1,1
66,5008873,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
67,5008874,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
68,5008875,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
69,5008876,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
70,5008877,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
71,5008878,2,126000.0,0,1,1,1,34,0,0,1,10,4,1,0,0,1
72,5008879,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
73,5008880,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
74,5008881,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
75,5008882,2,126000.0,0,1,1,1,34,0,0,1,10,4,0,0,0,1
76,5008884,0,315000.0,1,4,4,1,55,0,0,0,18,1,0,0,0,1
77,5008888,0,247500.0,0,1,2,4,47,0,0,0,3,1,0,0,0,1
78,5008889,0,247500.0,0,1,2,4,47,0,0,0,3,1,0,0,0,1
79,5008890,0,247500.0,0,1,2,4,47,0,0,0,3,1,0,0,0,1
80,5112847,0,247500.0,0,1,2,4,47,0,0,0,3,1,0,0,0,1
81,5008891,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
82,5008892,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
83,5008893,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
84,5008894,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
85,5008895,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
86,5008896,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
87,5008897,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
88,5008898,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
89,5008899,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
90,5008900,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
91,5008901,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
92,5008902,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
